ligne;Station;longitude;latitude
15;Châtillon - Montrouge;2.3017177050046067;48.8107514057529
1;"Champs-Élysées - Clemenceau";2.31446450132278;48.86765629124574
10;"Cluny - La Sorbonne";2.3448963012120783;48.85102687592628
8;"Richelieu - Drouot";2.33859122153854;48.872135869369885
7;"Villejuif - Paul Vaillant-Couturier";2.3681955838121027;48.796308220277844
12;"Assemblée nationale";2.3205758366475546;48.86107193857794
10;"Maubert - Mutualité";2.348280413169489;48.850195465121296
13;"Malakoff - Rue Étienne-Dolet";2.2971240100835826;48.81533836501127
6;"La Motte-Picquet - Grenelle";2.2985257262366354;48.8496308034842
8;"École vétérinaire de Maisons-Alfort";2.422399525054414;48.814835501151684
7;"Censier - Daubenton";2.3516265726054986;48.84022624756566
12;"Marcadet - Poissonniers";2.349681541722476;48.89128043889656
3;"Réaumur - Sébastopol";2.3520507871028347;48.86638175580347
1;"Reuilly - Diderot";2.3872010704093913;48.84721292574974
5;"Richard-Lenoir";2.371813630476951;48.85987693692056
7;"Aubervilliers - Pantin - Quatre Chemins";2.3922205712292186;48.90375705941771
8;"Faidherbe - Chaligny";2.3840285663831065;48.85011054318548
8;"Saint-Sébastien - Froissart";2.3672615397172683;48.860968144808254
9;"Bonne-Nouvelle";2.3484813657183894;48.870571298554935
14;"Bibliothèque François-Mitterrand";2.3764873711683;48.82992576498057
3;"Havre - Caumartin";2.327651103418781;48.87366675099707
12;"Lamarck - Caulaincourt";2.338583824383193;48.88968180901888
10;"Chardon-Lagache";2.266905475940289;48.845088298230586
8;"La Tour-Maubourg";2.3104735359369832;48.85772702258638
12;"Trinité - d'Estienne d'Orves";2.333049172418235;48.87633650635933
7;"Pont-Neuf";2.341776749148541;48.858546338320174
5;"Bréguet - Sabin";2.370194668589751;48.85624405373815
15;"Bobigny - Pablo Picasso";2.449027141458258;48.90636553315847
10;"Avenue Émile-Zola";2.2950189971435497;48.847038012756926
8;"Ledru-Rollin";2.3761412233185912;48.851337765850175
3;"Pereire";2.2976831860125824;48.88484432179189
1;"Louvre - Rivoli";2.3409696232852686;48.860871211759445
8;"Créteil - Préfecture";2.459305169291261;48.779756525830265
5;"Campo-Formio";2.3587419566993444;48.83554293280104
6;"Sèvres - Lecourbe";2.3095296104303924;48.84564768170248
8;"Créteil - L'Échat";2.449369595613371;48.79661082916301
12;"Montparnasse - Bienvenüe";2.3239891852050025;48.84382361030622
1;"Palais-Royal - Musée du Louvre";2.3364543677542504;48.86222226462601
8;"Créteil - Université";2.4505697455342563;48.78994285337715
1;"Charles de Gaulle - Étoile";2.295811775235762;48.874994575223035
10;"Sèvres - Babylone";2.3268596631217364;48.851565305443174
7;"Sully - Morland";2.3618531696972473;48.85127140744555
2;"Barbès - Rochechouart";2.3506070793550973;48.883776088608904
7;"Pré-Saint-Gervais";2.398580770693527;48.88015957971629
3;"Quatre-Septembre";2.3363187355954866;48.86965909643616
8;"Maisons-Alfort - Les Juilliottes";2.4457883063759587;48.80310584941806
